,BP_mmHg_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,Rain_mm_Tot,AirTC_Avg,RH,SlrW_Avg,SlrMJ_Tot,UV_Avg,min_BP_mmHg_Avg,min_WS_ms_S_WVT,min_WindDir_D1_WVT,min_WindDir_SD1_WVT,min_Rain_mm_Tot,min_AirTC_Avg,min_RH,min_SlrW_Avg,min_SlrMJ_Tot,min_UV_Avg,max_BP_mmHg_Avg,max_WS_ms_S_WVT,max_WindDir_D1_WVT,max_WindDir_SD1_WVT,max_Rain_mm_Tot,max_AirTC_Avg,max_RH,max_SlrW_Avg,max_SlrMJ_Tot,max_UV_Avg
2017-05-04,762.597826086956,1.1401739130434785,223.36739130434773,30.248891304347843,0.0,21.252173913043478,24.335652173913044,207.23204347826078,0.5510828205434783,34.90297826086956,750.9,0.21100000000000002,83.4,4.035,0.0,14.8,17.94,0.0,0.0,0.0,763.7,2.1590000000000003,345.3,82.2,0.0,25.1,45.77,0.0,1.972849,0.001
2017-05-05,759.3020833333337,2.0101944444444446,152.43455555555545,27.495208333333355,0.0,17.433506944444442,43.020624999999995,305.2990555555557,0.9158961410486115,60.15183333333338,755.5,0.085,7.516,9.9,0.0,5.305,18.99,0.0,0.0,0.0,762.5,5.257000000000001,348.6,60.72,0.0,27.7,80.6,889.0,2.6671080000000003,194.0
2017-05-06,755.275694444444,2.3867986111111117,169.56664583333338,30.237499999999994,0.0,17.157847222222223,45.125416666666666,192.01518749999997,0.5760587651666668,37.07165972222222,753.5,0.198,0.41200000000000003,12.69,0.0,10.75,24.76,0.0,0.0,0.0,756.8,9.54,358.0,87.7,0.0,24.69,70.16,877.0,2.632039,183.2
2017-05-07,757.6638888888891,2.452680555555555,209.37027777777777,26.101736111111112,0.008819444444444444,11.182333333333334,75.74729166666661,208.27565972222217,0.6248152496041667,42.18857638888887,754.6,0.513,11.26,11.29,0.0,6.455,52.34,0.0,0.0,0.0,759.5,5.165,312.7,63.34,0.508,16.91,94.2,1050.0,3.148869,215.2
2017-05-08,760.4750000000003,1.8988055555555559,204.32812499999997,31.448541666666667,0.0,13.763444444444438,56.04597222222222,275.74261805555557,0.8272143195555556,53.280625000000015,759.0,0.397,15.58,8.87,0.0,7.76,27.1,0.0,0.0,0.0,762.5,4.47,341.4,85.9,0.0,21.07,83.9,994.0,2.98236,200.2
2017-05-09,759.4916666666664,2.0559513888888907,160.3536388888889,26.947638888888886,0.007055555555555555,14.040465277777777,51.9452777777778,298.7136736111112,0.8961091925902779,58.41140972222221,758.4,0.183,2.6439999999999997,7.14,0.0,6.8,28.2,0.0,0.0,0.0,760.5,5.416,353.3,73.18,0.762,21.25,81.2,908.0,2.723134,194.5
2017-05-10,759.8333333333328,1.4160069444444447,142.45804166666667,28.975659722222222,0.0,14.385298611111105,48.46437499999999,322.12427083333336,0.9663114445208336,62.25793750000001,759.2,0.262,1.625,7.715,0.0,3.17,18.61,0.0,0.0,-0.001,760.8,2.673,355.2,87.7,0.0,23.61,87.6,907.0,2.721563,198.1
2017-05-11,761.2388888888884,1.8755208333333324,163.36768750000007,28.345625,0.0,16.85861111111111,44.018680555555534,310.22563194444433,0.9306484320416664,60.57815277777778,759.6,0.20600000000000002,4.052,8.96,0.0,5.494,19.11,0.0,0.0,0.0,762.7,4.452,346.8,52.88,0.0,25.54,78.72,898.0,2.693373,194.8
2017-05-12,756.2451388888888,4.650784722222223,189.44381944444442,23.614861111111125,0.0,17.441604166666675,38.40916666666668,308.8816944444445,0.9266886444166662,59.77743750000005,752.1,0.32899999999999996,14.11,14.51,0.0,5.355,18.05,0.0,0.0,-0.001,759.3,9.44,345.6,67.31,0.0,26.25,65.43,943.0,2.828948,201.3
2017-05-13,757.2944444444452,4.40804861111111,198.7104166666666,19.552569444444444,0.0,5.640256944444442,58.364513888888865,170.96296527777776,0.5128947009236109,33.16791666666666,755.8,1.827,156.9,12.68,0.0,2.873,22.85,0.0,0.0,0.0,759.5,7.54,242.1,38.89,0.0,11.32,89.6,681.7,2.045105,136.8
2017-05-14,758.5249999999995,2.0566666666666666,217.42636805555549,28.593263888888877,0.0,8.576131944444443,41.419722222222205,271.8091249999999,0.8154255628750002,50.621215277777814,756.2,0.589,3.425,11.9,0.0,2.394,22.94,0.0,0.0,0.0,760.4,3.72,360.0,86.0,0.0,15.25,65.45,811.0,2.43218,166.0
2017-05-15,755.8291666666661,2.496458333333333,177.83770833333335,23.84944444444445,0.0,10.525493055555557,44.85291666666665,268.9172083333331,0.8067320709444445,51.449562500000006,754.8,0.051,12.43,13.07,0.0,4.522,29.36,0.0,0.0,0.0,756.7,4.437,347.8,66.54,0.0,16.41,64.02,887.0,2.659839,185.6
2017-05-16,753.7006944444444,3.8943472222222235,201.56041666666675,22.524236111111104,0.024694444444444446,10.123215277777781,44.36951388888888,220.0676666666667,0.6601829074930557,42.69792361111112,751.3,2.029,156.1,14.23,0.0,5.175,26.18,0.0,0.0,0.0,755.4,5.936,254.1,35.53,0.508,15.34,90.0,1088.0,3.264452,217.4
2017-05-17,754.9534722222224,3.9326805555555557,207.8384652777778,23.623888888888917,0.015875,2.9258124999999997,71.78520833333336,143.92985416666664,0.43178922925694435,28.77536805555555,750.7,0.599,5.559,12.94,0.0,-0.25,35.1,0.0,0.0,-0.001,759.2,9.01,360.0,89.2,0.254,8.01,92.7,593.1,1.7792080000000001,113.3
2017-05-18,760.5534722222224,1.9945555555555556,102.40509027777776,27.872430555555546,0.0,6.092951388888891,62.721944444444425,189.00020833333335,0.5669999131041668,37.10953472222223,759.1,0.3,1.235,9.46,0.0,0.501,36.52,0.0,0.0,0.0,761.7,5.586,359.1,70.34,0.0,12.31,86.2,690.2,2.070576,139.9
2017-05-19,762.3034722222224,1.8692569444444445,155.1577777777778,27.67118055555555,0.0,8.694284722222218,52.70812500000001,267.60681944444445,0.8028098441180559,53.72294444444446,761.6,0.35100000000000003,18.31,14.04,0.0,1.892,31.07,0.0,0.0,-0.001,762.9,3.675,311.4,69.46,0.0,14.89,77.58,1054.0,3.1621479999999997,220.6
